nome,genero,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presença_comissao,ausencia_justificada_comissao,ausencia_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem,avatar
ANTONIO CARLOS GOMES DA SILVA,M,13/06/1972,92 dias,0 dias,0 dias,21 reuniões,2 reuniões,4 reuniões,260754.43,18748.87,25578.63,34691.71,31224.22,55517.35,34811.05,23121.54,21226.21,8304.56,6598.03,932.26,NaN,454866.65,1012698.46,18748.87,25578.63,34691.71,31224.22,55517.35,34811.05,23121.54,21226.21,8304.56,6598.03,932.26,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178962.jpg
CARLOS HENRIQUE AMORIM,M,21/04/1961,79 dias,1 dias,12 dias,33 reuniões,1 reuniões,24 reuniões,364344.6,38480.4,54727.25,51686.19,49827.56,38169.71,34594.12,36583.75,31857.0,13639.42,14425.74,353.46,NaN,446704.18999999994,1014767.71,38480.4,54727.25,51686.19,49827.56,38169.71,34594.12,36583.75,31857.0,13639.42,14425.74,353.46,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178993.jpg
FABIO ABREU COSTA,M,31/12/1972,90 dias,1 dias,1 dias,56 reuniões,0 reuniões,9 reuniões,411416.89,27176.43,43044.36,37886.06,54828.28,65451.97,38676.13,33219.21,38283.53,44917.64,27807.28,126.0,NaN,454312.13,1112307.7,27176.43,43044.36,37886.06,54828.28,65451.97,38676.13,33219.21,38283.53,44917.64,27807.28,126.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178924.jpg
Alexis Joseph Steverlynck Fonteyne,M,19/08/1967,87 dias,0 dias,5 dias,69 reuniões,0 reuniões,10 reuniões,173097.56,15079.3,25352.66,21515.84,17575.86,19090.52,15633.19,14939.48,14874.72,14285.99,14750.0,0.0,NaN,407478.82999999996,588885.13,15079.3,25352.66,21515.84,17575.86,19090.52,15633.19,14939.48,14874.72,14285.99,14750.0,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204516.jpg
CARLOS HENRIQUE FOCESI SAMPAIO,M,31/03/1963,87 dias,1 dias,4 dias,14 reuniões,0 reuniões,5 reuniões,314513.0,25615.74,54934.33,51456.2,45438.4,42806.53,22600.9,21181.85,14951.58,15364.01,20163.46,0.0,NaN,407740.71,1059385.24,25615.74,54934.33,51456.2,45438.4,42806.53,22600.9,21181.85,14951.58,15364.01,20163.46,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/74262.jpg
Carlos Roberto Coelho de Mattos Júnior,M,08/02/1982,84 dias,3 dias,5 dias,10 reuniões,0 reuniões,0 reuniões,192423.55,17012.14,20943.23,27544.0,16413.28,29052.38,31940.35,20649.2,10845.1,8605.79,8978.05,440.03,NaN,395820.91,1079427.92,17012.14,20943.23,27544.0,16413.28,29052.38,31940.35,20649.2,10845.1,8605.79,8978.05,440.03,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204460.jpg
ANDRÉ CARLOS ALVES DE PAULA FILHO,M,22/07/1961,76 dias,16 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,340822.48,34262.23,35056.09,41491.46,36132.62,46281.81,38561.19,41546.24,23271.3,16356.59,27862.95,0.0,NaN,458444.8,1107604.68,34262.23,35056.09,41491.46,36132.62,46281.81,38561.19,41546.24,23271.3,16356.59,27862.95,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/74471.jpg
ALTINEU CÔRTES FREITAS COUTINHO,M,13/09/1968,70 dias,22 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,168317.68,22950.23,23219.48,33714.07,29471.47,28820.9,22012.04,2946.96,3780.62,1343.75,0.0,58.16,NaN,406213.55,1085480.54,22950.23,23219.48,33714.07,29471.47,28820.9,22012.04,2946.96,3780.62,1343.75,0.0,58.16,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178937.jpg
ALIEL MACHADO BARK,M,26/02/1989,87 dias,4 dias,1 dias,24 reuniões,4 reuniões,18 reuniões,335570.75,22858.25,39946.86,59163.45,38533.06,76089.49,24295.38,28273.9,23005.48,12282.83,10142.17,979.88,NaN,437501.12,1081191.02,22858.25,39946.86,59163.45,38533.06,76089.49,24295.38,28273.9,23005.48,12282.83,10142.17,979.88,NaN,33763.0,,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178927.jpg
ALUISIO GUIMARAES MENDES FILHO,M,11/11/1961,89 dias,1 dias,2 dias,72 reuniões,0 reuniões,22 reuniões,299865.7,25340.8,36588.93,41060.22,31580.5,47983.46,29134.59,32169.0,33370.12,18433.71,4204.37,0.0,NaN,474333.84,1054299.62,25340.8,36588.93,41060.22,31580.5,47983.46,29134.59,32169.0,33370.12,18433.71,4204.37,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178881.jpg
